"date","datatype","station","attributes","value"
"2020-02-12T00:00:00","PRCP","GHCND:ASN00085279",",,a,",3.8
"2020-02-12T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22
"2020-02-12T00:00:00","TMIN","GHCND:ASN00085279",",,a,",18.7
"2020-02-13T00:00:00","PRCP","GHCND:ASN00085279",",,a,",3
"2020-02-13T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21.5
"2020-02-13T00:00:00","TMIN","GHCND:ASN00085279",",,a,",18.4
"2020-02-14T00:00:00","PRCP","GHCND:ASN00085279",",,a,",3
"2020-02-14T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.5
"2020-02-14T00:00:00","TMIN","GHCND:ASN00085279",",,a,",18.9
"2020-02-15T00:00:00","PRCP","GHCND:ASN00085279",",,a,",1.4
"2020-02-15T00:00:00","TMAX","GHCND:ASN00085279",",,a,",25.8
"2020-02-15T00:00:00","TMIN","GHCND:ASN00085279",",,a,",19.8
"2020-02-16T00:00:00","PRCP","GHCND:ASN00085279",",,a,",2.2
"2020-02-16T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.3
"2020-02-16T00:00:00","TMIN","GHCND:ASN00085279",",,a,",15.5
"2020-02-17T00:00:00","PRCP","GHCND:ASN00085279",",,a,",5.6
"2020-02-17T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.8
"2020-02-17T00:00:00","TMIN","GHCND:ASN00085279",",,a,",15.6
"2020-02-18T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-18T00:00:00","TMAX","GHCND:ASN00085279",",,a,",23.2
"2020-02-18T00:00:00","TMIN","GHCND:ASN00085279",",,a,",17.4
"2020-02-19T00:00:00","PRCP","GHCND:ASN00085279",",,a,",1.8
"2020-02-19T00:00:00","TMAX","GHCND:ASN00085279",",,a,",17.8
"2020-02-19T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.5
"2020-02-20T00:00:00","PRCP","GHCND:ASN00085279",",,a,",2.8
"2020-02-20T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.6
"2020-02-20T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.4
"2020-02-21T00:00:00","PRCP","GHCND:ASN00085279",",,a,",2.2
"2020-02-21T00:00:00","TMAX","GHCND:ASN00085279",",,a,",18.5
"2020-02-21T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.9
"2020-02-22T00:00:00","PRCP","GHCND:ASN00085279",",,a,",1
"2020-02-22T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22
"2020-02-22T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.4
"2020-02-23T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-23T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.5
"2020-02-23T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.1
"2020-02-24T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-24T00:00:00","TMAX","GHCND:ASN00085279",",,a,",26.3
"2020-02-24T00:00:00","TMIN","GHCND:ASN00085279",",,a,",17.4
"2020-02-25T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-25T00:00:00","TMAX","GHCND:ASN00085279",",,a,",31.6
"2020-02-25T00:00:00","TMIN","GHCND:ASN00085279",",,a,",16.8
"2020-02-26T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.6
"2020-02-26T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21.9
"2020-02-26T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.7
"2020-02-27T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-02-27T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21
"2020-02-27T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.2
"2020-02-28T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-02-28T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.1
"2020-02-28T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.5
"2020-02-29T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-02-29T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.5
"2020-02-29T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.5
"2020-03-01T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-01T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.7
"2020-03-01T00:00:00","TMIN","GHCND:ASN00085279",",,a,",10.3
"2020-03-02T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-02T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.8
"2020-03-02T00:00:00","TMIN","GHCND:ASN00085279",",,a,",15.3
"2020-03-03T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-03-03T00:00:00","TMAX","GHCND:ASN00085279",",,a,",19.5
"2020-03-03T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.4
